Binary Heap
[481] 0->199->979->273
[374] 0->643->900->274
[421] 0->643->502->275
[431] 0->643->88->276
[384] 0->643->497->277
[424] 0->199->310->278
[468] 0->930->119->279
[416] 0->112->898->280
[502] 0->246->417->281
[437] 0->199->987->282
[444] 0->643->919->283
[444] 0->112->898->284
[452] 0->643->627->285
[435] 0->859->754->286
[483] 0->930->119->630->287
[419] 0->199->144->288
[346] 0->930->748->289
[520] 0->112->813->319->290
[487] 0->112->746->291
[350] 0->112->292
[261] 0->112->293
[391] 0->199->25->294
[396] 0->643->929->295
[457] 0->643->799->296
[426] 0->643->942->297
[359] 0->930->298
[278] 0->199->299
[391] 0->112->749->300
[486] 0->859->684->301
[457] 0->199->471->302
[432] 0->643->674->303
[536] 0->930->164->750->304
[434] 0->643->942->305
[512] 0->199->892->79->306
[390] 0->930->461->307
[354] 0->112->308
[430] 0->930->309
[324] 0->199->310
[463] 0->246->801->311
[257] 0->112->312
[511] 0->112->749->300->313
[436] 0->199->132->314
[429] 0->199->145->315
[402] 0->643->502->316
[371] 0->888->317
[411] 0->643->674->318
[417] 0->112->813->319
[448] 0->597->632->320
[402] 0->930->861->321
[498] 0->930->748->213->322
[490] 0->112->265->423->323
[372] 0->930->119->324
[512] 0->112->749->419->325
[449] 0->597->632->326
[363] 0->199->682->327
[468] 0->930->164->42->328
[437] 0->930->748->329
[409] 0->930->772->330
[411] 0->643->238->331
[325] 0->859->332
[432] 0->112->807->333
[418] 0->112->553->334
[458] 0->643->502->826->335
[274] 0->930->336
[423] 0->112->293->337
[365] 0->930->748->338
[410] 0->643->674->339
[412] 0->199->398->340
[467] 0->525->341
[379] 0->112->293->342
[438] 0->930->336->343
[473] 0->112->265->934->344
[471] 0->643->570->706->345
[489] 0->199->471->31->346
[416] 0->112->347
[335] 0->246->348
[377] 0->112->749->349
[458] 0->930->461->350
[426] 0->930->164->351
[455] 0->643->502->352
[383] 0->930->119->353
[419] 0->643->502->354
[475] 0->112->265->355
[308] 0->112->356
[364] 0->643->900->357
[512] 0->112->746->358
[396] 0->643->942->359
[431] 0->95->360
[417] 0->643->578->361
[466] 0->643->570->706->362
[485] 0->525->970->363
[452] 0->859->442->364
[356] 0->112->265->365
[444] 0->643->476->366
[410] 0->643->674->367
[379] 0->643->368
[379] 0->643->122->369
[362] 0->199->471->370
[403] 0->643->48->371
[405] 0->643->578->372
[478] 0->643->390->825->373
[410] 0->643->397->374
[410] 0->95->375
[488] 0->643->88->736->376
[371] 0->643->497->377
[420] 0->597->63->378
[350] 0->199->913->379
[361] 0->112->569->380
[453] 0->643->570->97->381
[433] 0->643->745->382
[424] 0->643->48->383
[375] 0->246->384
[447] 0->246->3->385
[380] 0->643->390->386
[458] 0->643->122->387
[439] 0->930->595->388
[389] 0->930->517->389
[223] 0->643->390
[444] 0->643->390->998->391
[341] 0->930->428->392
[411] 0->643->578->393
[422] 0->643->957->394
[435] 0->199->868->395
[344] 0->607->396
[237] 0->643->397
[285] 0->199->398
[400] 0->199->299->399
[368] 0->199->400
[368] 0->930->484->401
[453] 0->112->553->402
[362] 0->930->748->403
[324] 0->404
[439] 0->270->405
[464] 0->643->900->406
[413] 0->930->772->407
[482] 0->112->408
[459] 0->643->502->826->409
[337] 0->643->390->410
[340] 0->643->674->411
[360] 0->930->517->412
[360] 0->873->413
[329] 0->930->414
[460] 0->415
[532] 0->112->120->215->416
[335] 0->246->417
[469] 0->525->147->418
[406] 0->112->749->419
[401] 0->420
[454] 0->930->748->617->421
[441] 0->643->823->422
[389] 0->112->265->423
[326] 0->643->929->424
[352] 0->607->425
[444] 0->859->442->426
[365] 0->112->265->427
[214] 0->930->428
[394] 0->199->429
[434] 0->199->144->430
[457] 0->930->414->431
[490] 0->643->912->207->432
[501] 0->930->812->433
[485] 0->930->164->434
[377] 0->643->390->435
[461] 0->859->821->436
[368] 0->930->437
[496] 0->199->725->438
[383] 0->112->439
[462] 0->52->440
[397] 0->930->194->441
[305] 0->859->442
[419] 0->930->517->443
[427] 0->270->444
[382] 0->643->122->445
[468] 0->112->749->678->446
[387] 0->199->471->447
[425] 0->643->551->448
[396] 0->643->771->449
[386] 0->525->450
[463] 0->930->119->262->451
[423] 0->246->143->452
[433] 0->930->772->453
[450] 0->112->746->454
[395] 0->597->36->455
[468] 0->597->63->456
[426] 0->643->390->825->457
[433] 0->112->312->458
[374] 0->112->749->459
[422] 0->246->55->460
[290] 0->930->461
[340] 0->112->462
[381] 0->112->293->463
